Date,Sector,RiskScore
2025-05-01,Geopolitical Sentiment,0.3653
2025-06-01,Climate,0.5357
2025-06-01,Economy,0.4395
2025-06-01,Trade,0.3381
2025-06-01,Migration,0.6300
2025-06-01,Urban Infrastructure,0.6127
2025-06-01,Social Stability,0.4673
2025-06-01,Geopolitical Sentiment,0.5367
2025-07-01,Climate,0.3549
2025-07-01,Economy,0.4630
2025-07-01,Trade,0.4403
2025-07-01,Migration,0.6395
2025-07-01,Urban Infrastructure,0.6320
2025-07-01,Social Stability,0.5373
2025-07-01,Geopolitical Sentiment,0.4156
2025-08-01,Climate,0.4695
2025-08-01,Economy,0.4317
2025-08-01,Trade,0.3091
2025-08-01,Migration,0.3185
2025-08-01,Urban Infrastructure,0.5928
2025-08-01,Social Stability,0.4862
2025-08-01,Geopolitical Sentiment,0.3026
2025-09-01,Climate,0.3584
2025-09-01,Economy,0.4810
2025-09-01,Trade,0.6968
2025-09-01,Migration,0.3891
2025-09-01,Urban Infrastructure,0.4834
2025-09-01,Social Stability,0.4333
2025-09-01,Geopolitical Sentiment,0.3475
2025-10-01,Climate,0.6658
2025-10-01,Economy,0.4829
2025-10-01,Trade,0.5587
2025-10-01,Migration,0.6505
2025-10-01,Urban Infrastructure,0.6022
2025-10-01,Social Stability,0.4429
2025-10-01,Geopolitical Sentiment,0.6497
2025-11-01,Climate,0.5167
2025-11-01,Economy,0.3221
2025-11-01,Trade,0.3573
2025-11-01,Migration,0.5795
2025-11-01,Urban Infrastructure,0.4320
2025-11-01,Social Stability,0.5564
2025-11-01,Geopolitical Sentiment,0.6909
2025-12-01,Climate,0.3691
2025-12-01,Economy,0.5226
2025-12-01,Trade,0.4626
2025-12-01,Migration,0.3349
2025-12-01,Urban Infrastructure,0.6751
2025-12-01,Social Stability,0.6553
2025-12-01,Geopolitical Sentiment,0.6289
